"Entity","total_economic_damages","total_people_affected"
"Afghanistan",25712,2206772.1
"Africa",2740920.7,42286254.7
"Albania",77857.3,117088.6
"Algeria",654184.6,76610.7
"American Samoa",20000,2556.3
"Angola",1200,454619.3
"Anguilla",20005,1515
"Antigua and Barbuda",71260,4428.4
"Argentina",1091941,213477.5
"Armenia",20327.5,41749.4
"Asia",147597115.3,526102341.6
"Australia",4592154.7,1609773.9
"Austria",662297,7224.6
"Azerbaijan",21120,257527.1
"Bahamas",672740,5485
"Bangladesh",1538458.5,19350980.6
"Barbados",520,538.1
"Belarus",17768,20870.4
"Belgium",221013.2,595.3
"Belize",55700.4,24352.5
"Benin",331.5,205110.6
"Bermuda",30000,0
"Bhutan",350,8662.8
"Bolivia",228950,505651.1
"Bosnia and Herzegovina",82158,141451.4
"Botswana",4900,30397.7
"Brazil",1479767,6115764.3
"British Virgin Islands",301200,0.3
"Brunei",200,0
"Bulgaria",142030.4,6781.3
"Burkina Faso",18117.6,1015995.1
"Burundi",1500,327215.3
"Cambodia",155911,2297279.5
"Cameroon",200,58927.6
"Canada",2353710,40599.1
"Cape Verde",110,11895.6
"Cayman Islands",349658,30
"Central African Republic",0,22997.7
"Chad",1100,873294.9
"Chile",3654306,529430.7
"China",54111974,298049764.8
"Colombia",542366.9,1234768.9
"Comoros",500,71695.9
"Congo",5.9,38611.4
"Costa Rica",125089,176807.9
"Cote d'Ivoire",0,5875.2
"Croatia",84875,2131.8
"Cuba",1410069.7,2293609.9
"Cyprus",1434,240.5
"Czechia",596701.2,162234.7
"Democratic Republic of Congo",3100,117983.1
"Denmark",494663.9,0
"Djibouti",211.9,144878.3
"Dominica",215381,11357.3
"Dominican Republic",266193.5,435783.7
"Ecuador",398947.5,293753.1
"Egypt",146700,29548.3
"El Salvador",491021,377564.5
"Eritrea",516.5,562268.8
"Estonia",13000,10
"Eswatini",178.9,263808.5
"Ethiopia",143393.6,5285003.5
"Europe",31715507.3,3079740.5
"Fiji",109762.6,135467.6
"Finland",1000,40
"France",4009320,411775.2
"French Guiana",0,7000.5
"French Polynesia",1300,892.6
"Gabon",0,8217.5
"Gambia",0,63647.6
"Georgia",70085.6,89418.9
"Germany",5788960.5,57605.3
"Ghana",4550,498830.4
"Greece",1072805.9,26612.4
"Grenada",89450,6121
"Guadeloupe",47500,8105.4
"Guam",75100,2747.7
"Guatemala",333563.2,1115025.7
"Guinea",0,40561
"Guinea-Bissau",0,20530.5
"Guyana",67780,125724.8
"Haiti",1067462,1484422.5
"High income",213935052.4,16775178.4
"Honduras",450237.9,560518.7
"Hong Kong",128529,2794.5
"Hungary",137540,40676.3
"Iceland",4628.9,28.2
"India",10199874.3,139803684.4
"Indonesia",3292806.9,2584001.6
"Iran",2460269.6,5214737.5
"Iraq",130,17584.5
"Ireland",67805,490
"Israel",150275,208500.9
"Italy",6800996.3,28062.4
"Jamaica",158975.7,142582.3
"Japan",50794610,619088.3
"Jordan",40100,34830.1
"Kazakhstan",28557,80118.5
"Kenya",59833.8,5739359.5
"Kiribati",0,8580.5
"Kuwait",0,20
"Kyrgyzstan",21776,227502.7
"Laos",78582.9,661895.5
"Latvia",32550,0
"Lebanon",15500,113429.1
"Lesotho",0,318836.6
"Liberia",4700,105934.1
"Libya",4930,2203
"Lithuania",31357.3,78000
"Low income",4562031,34024304.4
"Lower middle income",24218982.9,217756347.5
"Luxembourg",42100,151.9
"Macao",142000,418.6
"Madagascar",99038.1,1090562.7
"Malawi",42178.9,3059561
"Malaysia",227400.2,312641.7
"Maldives",50010,5451.2
"Mali",0,571132.3
"Marshall Islands",490,3434.4
"Martinique",50401,521.8
"Mauritania",200,748281.7
"Mauritius",36240,4193.2
"Mexico",4824841.5,1639015.5
"Micronesia",1150,18243.1
"Moldova",80018.4,290656.5
"Mongolia",197516.4,464912.5
"Montenegro",0,1258.6
"Montserrat",2800,1320
"Morocco",189605.9,311609
"Mozambique",301075,2283028.9
"Myanmar",484471.3,703447
"Namibia",19549,380115.2
"Nepal",630925.2,1170719.6
"Netherlands",548471.1,26512.1
"Netherlands Antilles",100000,4000
"New Caledonia",4000,110
"New Zealand",3051750,63599.9
"Nicaragua",112807.2,365163.5
"Niger",26083.9,2514740.4
"Nigeria",91442.2,1218708.5
"North America",127096134.8,20247850.2
"North Korea",2376795,5072031.8
"North Macedonia",40916.3,128134.8
"Northern Mariana Islands",0,86
"Norway",56300,685
"Oceania",8018854.1,2416016
"Oman",517200,2648.3
"Pakistan",2724381.4,8074769.9
"Palau",0,1545
"Palestine",0,9562.1
"Panama",30985,21962.5
"Papua New Guinea",31022.8,464500.6
"Paraguay",6850.7,358167.4
"Peru",454615,1607102.8
"Philippines",2454155.2,18734163
"Poland",787205,35497.6
"Portugal",754493.6,16520.9
"Puerto Rico",7164800,92407.1
"Qatar",1000,150
"Reunion",13500,425.5
"Romania",355491.8,42419
"Russia",1141399.6,433581.5
"Rwanda",7200.9,211979.3
"Saint Helena, Ascension and Tristan da Cunha",0,30
"Saint Kitts and Nevis",65840,1348
"Saint Lucia",4100,22910.9
"Saint Martin (French Part)",410000,11
"Saint Vincent and the Grenadines",15550,5063.1
"Samoa",73654,30128.7
"Saudi Arabia",125200,2758.9
"Senegal",5097.9,339038
"Serbia",228052.2,22238
"Serbia-Montenegro",0,13433
"Seychelles",4100,2030.2
"Sierra Leone",3000,27006.9
"Sint Maarten (Dutch part)",250000,504
"Slovakia",78560,5940.8
"Slovenia",75200,6690.5
"Solomon Islands",3000,24319
"Somalia",18202,2548776.5
"South Africa",592976.5,1943495.4
"South America",8366174.1,11110374
"South Korea",1543590.3,116577.7
"South Sudan",0,997760.3
"Soviet Union",392390,34621.6
"Spain",2001822,605531.4
"Sri Lanka",428263,2044911
"Sudan",53320,2006733.6
"Suriname",0,3154.8
"Sweden",307200,0
"Switzerland",792226,769.4
"Syria",0,186787.5
"Taiwan",2147769,355891.6
"Tajikistan",180538.4,676386.4
"Tanzania",46379,1358828.3
"Thailand",5096826.2,9935489.4
"Timor",400,13523.8
"Togo",0,60766
"Tonga",9730,11808.7
"Trinidad and Tobago",2982.7,15318.7
"Tunisia",27880,21750.8
"Turkey",2731730,612916
"Turkmenistan",9987,42
"Turks and Caicos Islands",100000,170
"Tuvalu",0,546.3
"Uganda",7847.1,521374.7
"Ukraine",334961.4,284564.2
"United Arab Emirates",0,18.8
"United Kingdom",3573718,76669.9
"United States",105329691,11388286.8
"United States Virgin Islands",121600,1000
"Upper middle income",82642030,336686746.7
"Uruguay",82800,23652
"Uzbekistan",5000,65190
"Vanuatu",45740,37548.5
"Venezuela",357850,92726.1
"Vietnam",2185657.4,5601540.1
"Wallis and Futuna",0,127.2
"World",325927096.3,605290631.6
"Yemen",181150,69049.9
"Yugoslavia",176610,0
"Zambia",2070,994236.2
"Zimbabwe",103670,2675232.4
